Job Title,Role,Level,year_of_experiences,Company,Location,Salary Range,Required Skills,Source Platform,Year Of Experiences
Database Administrator,Database Administrator,,2 năm kinh nghiệm,Navigos Group,"HCM Office: 20th Floor, E Town Central - 11 Doan Van Bo, Ward 13, District 4; Hanoi office: 8th Floor, V Building, 125-127 Ba Trieu St, Hai Ba Trung District",Thương lượng,"MS SQL Server, Mysql, Python, Crm Databases, Ssrs",https://www.vietnamworks.com/database-administrator-1839644-jv?source=searchResults&searchType=2&placement=1839694&sortBy=date,
QA Supervisor ( Nghỉ Tất Cả Thứ 7 và Chủ Nhật ),QA Supervisor Nghỉ Tất Cả Thứ 7 và Chủ Nhật,,5 năm kinh nghiệm,Mektec Manufacturing Corporation (Vietnam) Ltd.,"Plot K-3&4, Thang Long Industrial Park II, Di Su Commune, My Hao District, Hung Yen Province, Vietnam.",$ 700-900 /tháng,"QA, QC, SMT Production, 8D Problem Solving, English",https://www.vietnamworks.com/qa-supervisor-nghi-tat-ca-thu-7-va-chu-nhat--1844933-jv?source=searchResults&searchType=2&placement=1844933&sortBy=date,
Business Application Manager,Business Application Manager,,3 năm kinh nghiệm,,,Thương lượng,"Application Development, Business Planning, Customer Service, ERP, Supplier Management",https://www.vietnamworks.com/business-application-manager-1841592-jv?source=searchResults&searchType=2&placement=1841792&sortBy=date,
Nhân Viên Kỹ Thuật Công Nghệ Thông Tin,Nhân Viên Kỹ Thuật Công Nghệ Thông Tin,,1 năm kinh nghiệm,Công ty Cổ phần Công Nghệ Thiên Vận,"1 Phổ Quang, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Thương lượng,"Bảo Trì Hệ Thống, Công Nghệ Thông Tin, Hỗ Trợ Kỹ Thuật, Xử Lý Sự Cố, Điện Nhẹ",https://www.vietnamworks.com/nhan-vien-ky-thuat-cong-nghe-thong-tin-1839422-jv?source=searchResults&searchType=2&placement=1839972&sortBy=date,
"Software Engineer - Integration Build (Opensource System, C, C++, Python) (Quantity: 04)","Software Engineer - Integration Build Opensource System, C, C++, Python Quantity: 04",,Không yêu cầu năm kinh nghiệm,LG Electronics R&D Vietnam,"Tòa Lotte Mall 272 Võ Chí Công, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",Thương lượng,"C++, Python, Integration Management, Shell scripts, Linux",https://www.vietnamworks.com/software-engineer-integration-build-opensource-system-c-c-plus-plus-python-quantity-04-1838633-jv?source=searchResults&searchType=2&placement=1838633&sortBy=date,
Kỹ Sư Hệ Thống (Nam - Không Yêu Cầu Kinh Nghiệm),Kỹ Sư Hệ Thống Nam - Không Yêu Cầu Kinh Nghiệm,,1 năm kinh nghiệm,Công Ty Cổ Phần Tư Vấn Chuyển Giao Công Nghệ ITC,"Số 10, ngõ 81 phố Linh Lang, phường Cống Vị, quận Ba Đình, Hà Nội",Từ $ 10tr /tháng,"Công nghệ thông tin, Điện tử viễn thông, Hệ thống mạng máy tính, Cisco, VMware",https://www.vietnamworks.com/ky-su-he-thong-nam-khong-yeu-cau-kinh-nghiem-1824713-jv?source=searchResults&searchType=2&placement=1825163&sortBy=date,
"Thông Báo Tuyển Dụng Chuyên Gia Nghiên Cứu, Đo Kiểm","Thông Báo Tuyển Dụng Chuyên Gia Nghiên Cứu, Đo Kiểm",,Không yêu cầu năm kinh nghiệm,TRUNG TÂM ĐO LƯỜNG CHẤT LƯỢNG VIỄN THÔNG,"Tòa nhà VNTA, phố Dương Đình Nghệ, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",Từ 15tr ₫/tháng,"Công Nghệ Thông Tin, Điện Tử Viễn Thông, Tin Học Văn Phòng, Nghiên Cứu Độc Lập, Giao Tiếp Tiếng Anh",https://www.vietnamworks.com/thong-bao-tuyen-dung-chuyen-gia-nghien-cuu-do-kiem-1843945-jv?source=searchResults&searchType=2&placement=1844395&sortBy=date,
MES Developer,MES Developer,,3 năm kinh nghiệm,VINFAST TRADING AND PRODUCTION JSC,"Symphony Building, Chu Huy Man Street, Hanoi, Vietnam",Thương lượng,"C#, HTML/CSS, JavaScript, Microsoft SQL Server, Problem Solving",https://www.vietnamworks.com/mes-developer-1841369-jv?source=searchResults&searchType=2&placement=1841419&sortBy=date,
Data Intelligence Analyst,Data Intelligence Analyst,,2 năm kinh nghiệm,Red2 Digital,"466 Phan Xich Long, Ward 2, Phu Nhuan, Ho Chi Minh",Thương lượng,"SQL, BigQuery, Looker Studio, English, Python",https://www.vietnamworks.com/data-intelligence-analyst--1844572-jv?source=searchResults&searchType=2&placement=1844972&sortBy=date,
"Senior Associate, Product Suppot, SPX Express (preferred QC )","Senior Associate, Product Suppot, SPX Express preferred QC",Senior,3 năm kinh nghiệm,CÔNG TY TNHH SPX EXPRESS,,Thương lượng,"QC Systems, QC Training, Software Manual Testing, Software Testing, UAT testing",https://www.vietnamworks.com/senior-associate-product-suppot-spx-express-preferred-qc-1835766-jv?source=searchResults&searchType=2&placement=1836366&sortBy=date,
Quality Assurance Engineer (Accept Fresher),Quality Assurance Engineer Accept Fresher,Fresher,Không yêu cầu năm kinh nghiệm,HYUNDAI Kefico,"Lô XN 01 - Khu công nghiệp Đại An - P Tứ Minh, TP Hải Dương, T Hải Dương",Thương lượng,"QA, QC, IQC, Quality assuance, Engineering",https://www.vietnamworks.com/quality-assurance-engineer-accept-fresher--1835261-jv?source=searchResults&searchType=2&placement=1835411&sortBy=date,
QA Manager (Apparel),QA Manager Apparel,,10 năm kinh nghiệm,Navigos Search,Hanoi / HCMC,"$ 2,000-3,000 /tháng","Quality Assurance, Quality Control, Garment Construction, Manufacture Process, English Communication",https://www.vietnamworks.com/qa-manager-apparel-1-1839208-jv?source=searchResults&searchType=2&placement=1839908&sortBy=date,
IT Staff - Nhân Viên Công Nghệ Thông Tin,IT Staff - Nhân Viên Công Nghệ Thông Tin,,2 năm kinh nghiệm,Amata City Bien Hoa Joint Stock Company,"Long Binh IP (AMATA), Long Binh Ward, Bien Hoa City, Dong Nai Province",Thương lượng,"IT System Administration, IT Operations, IT Hardware, IT Helpdesk, Technical Support",https://www.vietnamworks.com/it-staff-nhan-vien-cong-nghe-thong-tin--1842013-jv?source=searchResults&searchType=2&placement=1842413&sortBy=date,
Senior Backend Engineer (Hybrid Working),Senior Backend Engineer Hybrid Working,Senior,5 năm kinh nghiệm,,,"$ 2,000-4,000 /tháng","Database Development, Typescript, Node.js, Docker, English Communication",https://www.vietnamworks.com/senior-backend-engineer-hybrid-working-1845111-jv?source=searchResults&searchType=2&placement=1845411&sortBy=date,
Process Quality Assurance (IT Software),Process Quality Assurance IT Software,,4 năm kinh nghiệm,Hitachi Digital Services,"Floor 3rd, 4th Helios Building - Floor 9th QTSC9 Building, Quang Trung Software City, Tan Chanh Hiep Ward, District 12",Thương lượng,"Communication Skills, ISO 9001, Quality Assurance, Quality Auditing, Software Process Development",https://www.vietnamworks.com/process-quality-assurance-it-software-1841952-jv?source=searchResults&searchType=2&placement=1842002&sortBy=date,
Senior Embedded Software Engineer (C Language/autosar) [Joining Bonus],Senior Embedded Software Engineer C Language/autosar Joining Bonus,Senior,Không yêu cầu năm kinh nghiệm,Bosch Global Software Technologies Company Limited,"Etown 2, 364 Cong Hoa street, ward 13, Tan Binh district, HCM",Thương lượng,"Embedded Software, Software Engineering, Electrical, Embedded C programming",https://www.vietnamworks.com/senior-embedded-software-engineer-c-language-autosar-joining-bonus--1836955-jv?source=searchResults&searchType=2&placement=1837105&sortBy=date,
Python Test Automation Engineer,Python Test Automation Engineer,,Không yêu cầu năm kinh nghiệm,LG Electronics Development Viet Nam Company Limited,"Tầng 32 & 34, tòa nhà Keangnam Landmark 72, đường Phạm Hùng, Nam Từ Liêm, Hà Nội","$ 1,000-2,200 /tháng","Python, Linux, JavaScript, QML, Embedded",https://www.vietnamworks.com/python-test-automation-engineer-1823252-jv?source=searchResults&searchType=2&placement=1823252&sortBy=date,
