Job Title,Role,Level,Company,Year Of Experiences,Location,Salary Range,Required Skills,Source Platform
Network Engineer/ Kỹ Sư Mạng,Network Engineer/ Kỹ Sư Mạng,N/A,Samsung Electronics HCMC CE Complex,1 năm kinh nghiệm,"Lot I-11 , D2 street, Hi-Tech Park, Tang Nhon Phu B Ward, District 9, HCMC",Thương lượng,"CCNA, CCNP, Khắc Phục Sự Cố Mạng, Kĩ Thuật Mạng, Xử lí sự cố mạng",https://www.vietnamworks.com/network-engineer-ky-su-mang-1855163-jv?source=searchResults&searchType=2&placement=1855163&sortBy=latest
[Long An] IT Manager (Chinese Speaking),Long An IT Manager Chinese Speaking,N/A,Navigos Search,6 năm kinh nghiệm,HCMC,Thương lượng,"ERP systems, Chinese, IT Management, Network, Infrastructure",https://www.vietnamworks.com/long-an-it-manager-chinese-speaking-1847476-jv?source=searchResults&searchType=2&placement=1847976&sortBy=latest
Senior Technology Risk Consultant in HCMC Office,Senior Technology Risk Consultant in HCMC Office,Senior,Ernst & Young Vietnam Limited (EY Vietnam),3 năm kinh nghiệm,"Bitexco Financial Tower, 28th Floor, 2 Hai Trieu street, District 1, Ho Chi Minh City & 8th Floor, Corner Stone Building, 16 Phan Chu Trinh, Hoan Kiem, Hanoi",Thương lượng,"CISA, MIS, database management, ITSM, ISO 27001",https://www.vietnamworks.com/senior-technology-risk-consultant-in-hcmc-office-1853416-jv?source=searchResults&searchType=2&placement=1853516&sortBy=latest
Nhân Viên Quản Lý Chất Lượng QC (Cơ Khí),Nhân Viên Quản Lý Chất Lượng QC Cơ Khí,N/A,Công Ty TNHH Xe Buýt Daewoo Việt Nam,2 năm kinh nghiệm,"Lô 9, Khu Công nghiệp Khai Quang, Vĩnh Yên, Vĩnh Phúc",$ 300-500 /tháng,"QC, Ô Tô, ISO, AutoCAD",https://www.vietnamworks.com/nhan-vien-quan-ly-chat-luong-qc-co-khi--1853941-jv?source=searchResults&searchType=2&placement=1853991&sortBy=latest
IT Phần Mềm,IT Phần Mềm,N/A,Japfa Comfeed Vietnam Ltd,1 năm kinh nghiệm,"Hương Canh, Bình Xuyên, Vĩnh Phúc",Thương lượng,".NET, FrontEnd, Flutter, MySQL, Lập Trình Backend",https://www.vietnamworks.com/it-phan-mem--1855808-jv?source=searchResults&searchType=2&placement=1855808&sortBy=latest
Visual Product Designer,Visual Product Designer,N/A,Navigos Group,3 năm kinh nghiệm,"HCM Office: 20th Floor, E Town Central - 11 Doan Van Bo, Ward 13, District 4; Hanoi office: 8th Floor, V Building, 125-127 Ba Trieu St, Hai Ba Trung District",30tr-45tr ₫/tháng,"Adobe Creative Suite, Branding, Collaboration, Illustration, Illustration, Visual Design",https://www.vietnamworks.com/visual-product-designer-1854108-jv?source=searchResults&searchType=2&placement=1854158&sortBy=latest
Nhân Viên IT Quản Trị Hệ Thống và Mạng (IT Helpdesk),Nhân Viên IT Quản Trị Hệ Thống và Mạng IT Helpdesk,N/A,Công Ty Cổ Phần Western Pacific,2 năm kinh nghiệm,"Số 13, đường số 12 - Phường Thảo Điền - Thành phố Thủ Đức - TP Hồ Chí Minh.","$ 1,000-2,000 /tháng","Quản Trị Website, IT Helpdesk, IT Administration, Giải Quyết Sự Cố Mạng, An Ninh Mạng",https://www.vietnamworks.com/nhan-vien-it-quan-tri-he-thong-va-mang-it-helpdesk-1851470-jv?source=searchResults&searchType=2&placement=1851720&sortBy=latest
"Database Admin (Oracle, Linux) (Senior Level)","Database Admin Oracle, Linux Senior Level",Senior,Công Ty Cổ Phần Chứng Khoán KIS Việt Nam,2 năm kinh nghiệm,"Lầu 3, 180-192 Nguyễn Công Trứ, P. Nguyễn Thái Bình, Quận 1, TP.HCM","$ 800-2,500 /tháng","Data Management, DBA, Linux OS, Oracle Database, Teamwork",https://www.vietnamworks.com/database-admin-oracle-linux-senior-level-1849943-jv?source=searchResults&searchType=2&placement=1850243&sortBy=latest
Nhân Viên It Phần Mềm,Nhân Viên It Phần Mềm,N/A,Trường THCS Và THPT Đinh Thiện Lý ( Lawrence S.ting School ),3 năm kinh nghiệm,"Số 80, Đường Nguyễn Đức Cảnh, Đô thị mới Phú Mỹ Hưng, P.Tân Phong, Q7, TP.HCM",Thương lượng,"HTML Programming, Jquery Or Angular, Web Application Technology, Sql Query Proficiency, Software Engineering",https://www.vietnamworks.com/nhan-vien-it-phan-mem-1849608-jv?source=searchResults&searchType=2&placement=1849958&sortBy=latest
Chuyên Viên Cao Cấp Giám Sát An Ninh Thông Tin (SOC - Senior Threat Hunting & Incident Responder),Chuyên Viên Cao Cấp Giám Sát An Ninh Thông Tin SOC - Senior Threat Hunting & Incident Responder,Senior,Công Ty Cổ Phần Chứng Khoán SSI,1 năm kinh nghiệm,1C Ngô Quyền - Hoàn Kiếm - Hà Nội,"$ 1,300-2,500 /tháng","Analytical Skills, Incident Response, IT Monitoring, Network Security, Threat Hunting",https://www.vietnamworks.com/chuyen-vien-cao-cap-giam-sat-an-ninh-thong-tin-soc-senior-threat-hunting-and-incident-responder-1854660-jv?source=searchResults&searchType=2&placement=1854710&sortBy=latest
Senior Business Analyst (Analytics Consultant),Senior Business Analyst Analytics Consultant,Senior,MiTek Việt Nam,2 năm kinh nghiệm,"Tòa nhà A5, Lô số A5, khu E-Office, đường Sáng Tạo, KCX Tân Thuận, P. Tân Thuận Đông, Q.7, TP.HCM.",Thương lượng,"Business Analysis, Data Analytics, Business Analyst, English B2, Consultant",https://www.vietnamworks.com/senior-business-analyst-analytics-consultant-1844734-jv?source=searchResults&searchType=2&placement=1844734&sortBy=latest
Process Quality Assurance (IT Software),Process Quality Assurance IT Software,N/A,Hitachi Digital Services,4 năm kinh nghiệm,"Floor 3rd, 4th Helios Building - Floor 9th QTSC9 Building, Quang Trung Software City, Tan Chanh Hiep Ward, District 12",Thương lượng,"Communication Skills, ISO 9001, Quality Assurance, Quality Auditing, Software Process Development",https://www.vietnamworks.com/process-quality-assurance-it-software-1841952-jv?source=searchResults&searchType=2&placement=1842102&sortBy=latest
Hanoi_Senior Python Dev (Onboard After Tet Holiday)_V000008,Hanoi_Senior Python Dev Onboard After Tet Holiday _V000008,N/A,Công Ty TNHH ZIGExN VeNtura,Không yêu cầu năm kinh nghiệm,"11th Floor, Vina building, 131 Xo Viet Nghe Tinh, Ward 17, Binh Thanh Dist, HCMC, Vietnam",Thương lượng,"Python, Web Development, English Communication, Microservices",https://www.vietnamworks.com/hanoi-senior-python-dev-onboard-after-tet-holiday-v000008-1837934-jv?source=searchResults&searchType=2&placement=1838134&sortBy=latest
KPMG Delivery Center (Kdc) Assistant,KPMG Delivery Center Kdc Assistant,N/A,Chi Nhánh Công Ty TNHH KPMG,Không yêu cầu năm kinh nghiệm,"10Floor, 115 Nguyễn Huệ, Ho Chi Minh City, Ho Chi Minh, Vietnam",Thương lượng,"Data Management, Data Processing, Accounting",https://www.vietnamworks.com/kpmg-delivery-center-kdc-assistant-1848585-jv?source=searchResults&searchType=2&placement=1848985&sortBy=latest
Project Manager (IT field | ERM | D365 F&O),Project Manager IT field | ERM | D365 F&O,N/A,Chi Nhánh Công Ty TNHH KPMG,5 năm kinh nghiệm,"10Floor, 115 Nguyễn Huệ, Ho Chi Minh City, Ho Chi Minh, Vietnam",Thương lượng,"Budget Management, Budget Management, English Communication, Manage ERP Software, Project Management, Risk Management",https://www.vietnamworks.com/project-manager-it-field-or-erm-or-d365-fando-1851954-jv?source=searchResults&searchType=2&placement=1852154&sortBy=latest
IT Engineer (Global Team),IT Engineer Global Team,N/A,,Không yêu cầu năm kinh nghiệm,,"$ 500-1,300 /tháng","IT Helpdesk, Công nghệ thông tin, Hệ thống mạng máy tính, Infrastructure, IT Operations",https://www.vietnamworks.com/it-engineer-global-team-1848633-jv?source=searchResults&searchType=2&placement=1849033&sortBy=latest
